idx,country,capital,image
90,Afghanistan,Kabul,http://www.topdesignmag.com/wp-content/uploads/2011/01/914.jpg
91,Uganda,Kampala,http://www.topdesignmag.com/wp-content/uploads/2011/01/921.jpg
92,Nepal,Kathmandu,http://www.topdesignmag.com/wp-content/uploads/2011/01/931.jpg
93,Sudan,Khartoum,http://www.topdesignmag.com/wp-content/uploads/2011/01/941.jpg
94,Ukraine,Kiev,http://www.topdesignmag.com/wp-content/uploads/2011/01/951.jpg
95,Rwanda,Kigali,http://www.topdesignmag.com/wp-content/uploads/2011/01/961.jpg
96,Jamaica,Kingston,http://www.topdesignmag.com/wp-content/uploads/2011/01/971.jpg
97,Norfolk Island,Kingston,http://www.topdesignmag.com/wp-content/uploads/2011/01/981.jpg
98,Saint Vincent and the Grenadines,Kingstown,http://www.topdesignmag.com/wp-content/uploads/2011/01/991.jpg
99,Democratic Republic of the Congo,Kinshasa,http://www.topdesignmag.com/wp-content/uploads/2011/01/100.jpg
100,Malaysia,Kuala Lumpur,http://www.topdesignmag.com/wp-content/uploads/2011/01/1011.jpg
101,Kuwait,Kuwait City,http://www.topdesignmag.com/wp-content/uploads/2011/01/1021.jpg
102,Bolivia,La Paz,http://www.topdesignmag.com/wp-content/uploads/2011/01/1031.jpg
103,Western Sahara,Laâyoune (El Aaiún),http://www.topdesignmag.com/wp-content/uploads/2011/01/1041.jpg
104,Gabon,Libreville,http://www.topdesignmag.com/wp-content/uploads/2011/01/1051.jpg
105,Malawi,Lilongwe,http://www.topdesignmag.com/wp-content/uploads/2011/01/1061.jpg
106,Peru,Lima,http://www.topdesignmag.com/wp-content/uploads/2011/01/1071.jpg
107,Portugal,Lisbon,http://www.topdesignmag.com/wp-content/uploads/2011/01/1081.jpg
108,Slovenia,Ljubljana,http://www.topdesignmag.com/wp-content/uploads/2011/01/1091.jpg
109,Togo,Lomé,http://www.topdesignmag.com/wp-content/uploads/2011/01/1101.jpg
110,United Kingdom,London,http://www.topdesignmag.com/wp-content/uploads/2011/01/1116.jpg
111,Angola,Luanda,http://www.topdesignmag.com/wp-content/uploads/2011/01/1121.jpg
112,Zambia,Lusaka,http://www.topdesignmag.com/wp-content/uploads/2011/01/1131.jpg
113,Luxembourg,Luxembourg City,http://www.topdesignmag.com/wp-content/uploads/2011/01/1141.jpg
114,Spain,Madrid,http://www.topdesignmag.com/wp-content/uploads/2011/01/1151.jpg
115,Marshall Islands,Majuro,http://www.topdesignmag.com/wp-content/uploads/2011/01/1161-1024x679.jpg
116,Equatorial Guinea,Malabo,http://www.topdesignmag.com/wp-content/uploads/2011/01/1171.jpg
117,Maldives,Malé,http://www.topdesignmag.com/wp-content/uploads/2011/01/1181.jpg
118,Mayotte,Mamoudzou,http://www.topdesignmag.com/wp-content/uploads/2011/01/1191.jpg
119,Nicaragua,Managua,http://www.topdesignmag.com/wp-content/uploads/2011/01/1201.jpg
120,Bahrain,Manama,http://www.topdesignmag.com/wp-content/uploads/2011/01/1215.jpg
121,Philippines,Manila,http://www.topdesignmag.com/wp-content/uploads/2011/01/1221.jpg
122,Mozambique,Maputo,http://www.topdesignmag.com/wp-content/uploads/2011/01/1231.jpg
123,Saint Martin,Marigot,http://www.topdesignmag.com/wp-content/uploads/2011/01/1241.jpg
124,Lesotho,Maseru,http://www.topdesignmag.com/wp-content/uploads/2011/01/1251.jpg
125,Wallis and Futuna,Mata-Utu,http://www.topdesignmag.com/wp-content/uploads/2011/01/1261-1024x682.jpg
126,Swaziland,Mbabane,http://www.topdesignmag.com/wp-content/uploads/2011/01/1281.jpg
127,Mexico,Mexico City,http://www.topdesignmag.com/wp-content/uploads/2011/01/1291.jpg
128,Belarus,Minsk,http://www.topdesignmag.com/wp-content/uploads/2011/01/1301.jpg
129,Somalia,Mogadishu,http://www.topdesignmag.com/wp-content/uploads/2011/01/1312.jpg
130,Monaco,Monaco,http://www.topdesignmag.com/wp-content/uploads/2011/01/1321.jpg
131,Liberia,Monrovia,http://www.topdesignmag.com/wp-content/uploads/2011/01/1331.jpg
132,Uruguay,Montevideo,http://www.topdesignmag.com/wp-content/uploads/2011/01/1341.jpg
133,Comoros,Moroni,http://www.topdesignmag.com/wp-content/uploads/2011/01/1351.jpg
134,Russia,Moscow,http://www.topdesignmag.com/wp-content/uploads/2011/01/1361.jpg
135,Oman,Muscat,http://www.topdesignmag.com/wp-content/uploads/2011/01/1371.jpg
136,Kenya,Nairobi,http://www.topdesignmag.com/wp-content/uploads/2011/01/1381.jpg
137,Bahamas,Nassau,http://www.topdesignmag.com/wp-content/uploads/2011/01/1391.jpg
138,Myanmar,Naypyidaw,http://www.topdesignmag.com/wp-content/uploads/2011/01/1401.jpg
139,Chad,N’Djamena,http://www.topdesignmag.com/wp-content/uploads/2011/01/1413.jpg
140,India,New Delhi,http://www.topdesignmag.com/wp-content/uploads/2011/01/1421.jpg
141,Palau,Ngerulmud,http://www.topdesignmag.com/wp-content/uploads/2011/01/1431.jpg
142,Niger,Niamey,http://www.topdesignmag.com/wp-content/uploads/2011/01/1441.jpg
143,Cyprus,Nicosia,http://www.topdesignmag.com/wp-content/uploads/2011/01/1451.jpg
144,Mauritania,Nouakchott,http://www.topdesignmag.com/wp-content/uploads/2011/01/1461.jpg
145,New Caledonia,Nouméa,http://www.topdesignmag.com/wp-content/uploads/2011/01/1471.jpg
146,Tonga,Nukuʻalofa,http://www.topdesignmag.com/wp-content/uploads/2011/01/1481.jpg
147,Greenland,Nuuk,http://www.topdesignmag.com/wp-content/uploads/2011/01/1491.jpg
148,Aruba,Oranjestad,http://www.topdesignmag.com/wp-content/uploads/2011/01/1501.jpg
149,Norway,Oslo,http://www.topdesignmag.com/wp-content/uploads/2011/01/1513.jpg
150,Canada,Ottawa,http://www.topdesignmag.com/wp-content/uploads/2011/01/1521.jpg
151,Burkina Faso,Ouagadougou,http://www.topdesignmag.com/wp-content/uploads/2011/01/1531.jpg
